order_id,customer_id,category,sales_amount,order_date,device,promo_code,review_score
40,493,Clothing,433.68,2025-01-31,mobile,,1
41,400,Home & Garden,463.99,2025-08-21,desktop,,5
42,678,Beauty,248.47,2025-04-08,desktop,FLASH30,1
43,594,Beauty,275.68,2025-06-10,mobile,SAVE10,5
44,489,Sports,460.5,2025-09-29,mobile,SAVE10,5
45,83,Toys,101.05,2025-11-01,mobile,FLASH30,4
46,123,Sports,130.65,2025-11-01,mobile,SUMMER20,4
47,674,Sports,286.96,2025-06-11,desktop,FLASH30,3
48,245,Home & Garden,203.94,2025-12-10,tablet,,4
49,324,Toys,468.51,2025-01-05,desktop,SUMMER20,1
50,551,Clothing,257.88,2025-03-09,desktop,SUMMER20,2
51,379,Home & Garden,87.3,2025-10-06,tablet,,5
52,670,Sports,13.83,2025-10-11,desktop,SUMMER20,2
53,271,Electronics,445.96,2025-10-11,mobile,,3
54,620,Clothing,361.63,2025-04-15,tablet,,5
55,501,Home & Garden,453.61,2025-01-27,mobile,,3
56,46,Electronics,173.44,2025-03-08,tablet,,2
57,760,Books,280.32,2025-08-07,tablet,SAVE10,1
58,78,Beauty,452.93,2025-10-07,mobile,,5
59,566,Clothing,220.6,2025-01-22,desktop,,1
60,367,Clothing,344.21,2025-12-08,mobile,,5
61,417,Sports,377.24,2025-05-02,mobile,WELCOME15,4
62,26,Clothing,370.92,2025-06-20,desktop,FLASH30,3
63,164,Toys,353.63,2025-07-15,mobile,,2
64,205,Toys,460.04,2025-06-29,desktop,FLASH30,2
65,25,Beauty,104.63,2025-06-18,desktop,SUMMER20,3
66,360,Beauty,259.61,2025-12-14,tablet,,1
67,119,Home & Garden,97.5,2025-05-16,mobile,SUMMER20,5
68,445,Home & Garden,366.99,2025-06-10,desktop,SUMMER20,4
69,591,Clothing,134.81,2025-12-29,desktop,SAVE10,5
70,552,Beauty,362.52,2025-12-10,mobile,,4
71,72,Beauty,461.18,2025-11-16,desktop,SUMMER20,3
72,520,Home & Garden,336.78,2025-06-17,desktop,,5
73,131,Clothing,216.02,2025-07-14,tablet,WELCOME15,5
74,583,Home & Garden,208.98,2025-01-01,desktop,,2
75,441,Toys,294.19,2025-12-02,desktop,,4
76,453,Beauty,114.71,2025-08-31,tablet,WELCOME15,1
77,291,Sports,335.29,2025-11-14,desktop,SUMMER20,2
78,689,Home & Garden,120.07,2025-04-12,mobile,SAVE10,1
79,251,Books,309.52,2025-02-07,desktop,,5
80,200,Beauty,351.21,2025-09-11,desktop,FLASH30,2
81,672,Beauty,12.72,2025-02-24,desktop,FLASH30,2
82,713,Sports,237.63,2025-10-13,mobile,SUMMER20,4
83,137,Toys,237.68,2025-09-29,tablet,,4
84,628,Toys,362.44,2025-09-16,desktop,,2
85,762,Toys,242.59,2025-05-13,mobile,,5
86,497,Beauty,127.23,2025-08-14,mobile,,2
87,279,Home & Garden,166.66,2025-10-04,mobile,WELCOME15,2
88,237,Books,350.04,2025-12-28,mobile,SUMMER20,4
89,418,Home & Garden,275.88,2025-08-01,mobile,FLASH30,4
90,399,Toys,296.2,2025-12-23,mobile,,4
91,7,Home & Garden,156.32,2025-07-19,desktop,FLASH30,4
92,225,Home & Garden,223.56,2025-01-15,desktop,,4
93,742,Clothing,421.85,2025-03-07,tablet,SAVE10,4
94,607,Sports,334.87,2025-02-12,tablet,,2
95,473,Clothing,34.64,2025-07-14,desktop,FLASH30,4
96,335,Home & Garden,383.0,2025-07-14,desktop,,3
97,84,Books,19.5,2025-10-04,mobile,,2
98,666,Electronics,392.8,2025-11-30,mobile,SAVE10,2
99,205,Toys,19.99,2025-03-20,mobile,WELCOME15,4
100,686,Electronics,286.35,2025-04-22,desktop,,3
101,172,Sports,307.55,2025-02-28,mobile,,1
102,593,Electronics,465.15,2025-10-22,tablet,,4
103,733,Clothing,47.24,2025-12-20,tablet,FLASH30,1
104,714,Toys,157.78,2025-12-17,tablet,SUMMER20,5
105,43,Home & Garden,271.05,2025-12-05,desktop,SUMMER20,5
106,664,Home & Garden,16.2,2025-08-04,desktop,SUMMER20,4
107,371,Beauty,446.87,2025-08-24,tablet,WELCOME15,4
108,181,Beauty,265.66,2025-11-30,desktop,,4
109,447,Toys,368.2,2025-05-18,desktop,FLASH30,1
110,286,Books,129.49,2025-08-26,tablet,,3
111,30,Books,426.97,2025-04-04,desktop,FLASH30,3
112,265,Home & Garden,147.03,2025-11-02,tablet,,5
113,11,Sports,474.55,2025-02-13,mobile,,4
114,569,Toys,127.76,2025-09-01,tablet,,4
115,18,Electronics,154.18,2025-07-27,tablet,FLASH30,3
116,680,Sports,190.82,2025-10-11,tablet,,4
117,764,Sports,172.09,2025-12-26,desktop,,3
118,258,Clothing,69.12,2025-04-09,desktop,SUMMER20,5
119,781,Beauty,100.72,2025-04-21,tablet,,3
120,742,Sports,488.54,2025-09-26,tablet,,1
121,199,Home & Garden,121.47,2025-04-02,desktop,SAVE10,5
122,130,Home & Garden,32.3,2025-01-28,tablet,,2
123,654,Toys,378.87,2025-02-22,mobile,,4
124,491,Books,176.95,2025-01-27,desktop,,1
125,67,Books,250.96,2025-10-23,tablet,SAVE10,2
126,153,Toys,285.79,2025-06-05,mobile,FLASH30,1
127,572,Toys,213.93,2025-11-02,tablet,FLASH30,5
128,390,Books,455.17,2025-06-02,tablet,,3
129,583,Sports,39.51,2025-02-20,mobile,FLASH30,3
130,677,Electronics,86.96,2025-03-30,tablet,SUMMER20,2
131,3,Books,230.75,2025-11-01,desktop,,1
132,238,Home & Garden,356.41,2025-12-26,desktop,SUMMER20,2
133,271,Toys,397.71,2025-10-29,tablet,FLASH30,4
134,118,Sports,120.16,2025-03-18,desktop,WELCOME15,1
135,62,Clothing,398.39,2025-11-01,tablet,,4
136,128,Books,347.45,2025-12-25,desktop,,5
137,553,Books,224.5,2025-11-03,mobile,,3
138,619,Home & Garden,22.67,2025-04-28,tablet,SAVE10,3
139,591,Electronics,383.92,2025-03-31,desktop,,3
140,186,Sports,223.58,2025-09-09,mobile,,3
141,419,Home & Garden,167.32,2025-02-23,mobile,,4
142,711,Books,151.23,2025-07-25,tablet,SAVE10,4
143,91,Home & Garden,133.68,2025-03-01,desktop,SAVE10,5
144,474,Books,36.56,2025-09-23,desktop,,4
145,779,Electronics,109.74,2025-10-09,mobile,,4
146,716,Books,69.5,2025-11-19,tablet,FLASH30,2
147,319,Sports,16.7,2025-07-28,mobile,FLASH30,1
148,473,Electronics,327.38,2025-03-20,desktop,,5
149,723,Home & Garden,213.59,2025-09-05,desktop,FLASH30,4
150,565,Clothing,197.96,2025-11-03,tablet,WELCOME15,1
151,283,Toys,397.1,2025-08-01,desktop,,1
152,290,Beauty,156.29,2025-10-28,tablet,,2
153,458,Sports,247.33,2025-06-20,tablet,,4
154,330,Toys,102.44,2025-12-24,mobile,,2
155,795,Books,31.39,2025-08-31,tablet,,4
156,680,Toys,412.17,2025-03-19,desktop,SAVE10,2
157,515,Sports,172.68,2025-02-21,desktop,SUMMER20,5
158,468,Electronics,364.0,2025-07-29,tablet,WELCOME15,1
159,481,Toys,484.91,2025-06-23,tablet,,1
160,337,Toys,340.44,2025-10-01,desktop,,4
161,555,Electronics,312.56,2025-05-01,tablet,,2
162,765,Electronics,222.65,2025-02-20,tablet,SUMMER20,4
163,171,Beauty,156.74,2025-01-15,mobile,,1
164,301,Home & Garden,193.67,2025-03-16,mobile,,5
165,699,Toys,98.23,2025-03-31,mobile,,5
166,700,Clothing,253.86,2025-10-26,mobile,FLASH30,4
167,654,Home & Garden,235.19,2025-12-08,mobile,,3
168,694,Sports,87.41,2025-08-15,desktop,,4
169,707,Home & Garden,233.85,2025-06-04,mobile,,4
170,110,Clothing,196.87,2025-07-03,tablet,,3
171,23,Toys,332.53,2025-05-21,mobile,SAVE10,5
172,764,Books,418.09,2025-05-27,mobile,,2
173,652,Clothing,314.24,2025-12-14,tablet,WELCOME15,1
174,643,Beauty,29.32,2025-08-14,mobile,,2
175,93,Home & Garden,170.09,2025-08-01,mobile,FLASH30,2
176,553,Home & Garden,270.12,2025-05-20,mobile,,4
177,303,Beauty,436.49,2025-02-28,desktop,SUMMER20,2
178,773,Clothing,431.47,2025-12-12,desktop,,1
179,405,Electronics,139.58,2025-03-05,desktop,,3
180,599,Books,412.98,2025-07-10,mobile,FLASH30,4
181,26,Sports,443.28,2025-10-15,desktop,FLASH30,1
182,651,Toys,237.49,2025-12-25,desktop,,1
183,144,Electronics,473.67,2025-06-05,desktop,SUMMER20,1
184,241,Sports,76.48,2025-08-21,desktop,,5
185,761,Beauty,85.72,2025-08-01,tablet,SUMMER20,4
186,631,Books,470.14,2025-05-24,mobile,,2
187,455,Books,475.77,2025-07-05,mobile,,5
188,661,Home & Garden,39.67,2025-05-22,mobile,SUMMER20,4
189,94,Beauty,113.93,2025-11-24,tablet,SAVE10,1
190,342,Clothing,494.52,2025-10-17,mobile,SUMMER20,5
191,213,Sports,115.82,2025-04-30,desktop,WELCOME15,5
192,3,Home & Garden,430.62,2025-03-16,mobile,,2
193,113,Beauty,434.56,2025-03-09,mobile,,2
194,603,Home & Garden,17.73,2025-05-16,mobile,WELCOME15,4
195,539,Electronics,375.38,2025-09-01,desktop,,5
196,608,Electronics,231.48,2025-04-24,tablet,SAVE10,5
197,309,Books,325.24,2025-01-16,mobile,,4
198,437,Beauty,62.9,2025-12-31,desktop,SUMMER20,1
199,330,Sports,82.68,2025-03-06,desktop,,4
200,612,Sports,154.5,2025-09-16,tablet,,1
201,719,Electronics,427.87,2025-11-30,tablet,FLASH30,4
202,463,Clothing,212.77,2025-08-21,desktop,,1
203,321,Books,163.14,2025-05-11,desktop,WELCOME15,4
204,69,Electronics,417.57,2025-02-17,desktop,SUMMER20,3
205,134,Sports,39.39,2025-10-15,tablet,,1
206,421,Home & Garden,438.07,2025-08-05,tablet,SAVE10,3
207,615,Home & Garden,182.31,2025-10-23,tablet,FLASH30,2
208,673,Books,119.88,2025-02-25,desktop,,1
209,781,Home & Garden,291.31,2025-08-08,tablet,SAVE10,5
210,674,Toys,349.8,2025-01-15,mobile,,3
211,348,Home & Garden,12.99,2025-03-15,tablet,,1
212,146,Beauty,320.25,2025-01-16,mobile,FLASH30,4
213,430,Books,177.04,2025-07-09,desktop,,5
214,611,Electronics,442.84,2025-03-21,mobile,SAVE10,1
215,279,Books,334.35,2025-09-06,tablet,,4
216,280,Clothing,379.92,2025-02-28,desktop,,1
217,291,Beauty,342.46,2025-09-07,tablet,,1
218,226,Books,492.38,2025-01-29,mobile,FLASH30,3
219,217,Toys,77.25,2025-05-11,desktop,,1
220,8,Books,376.04,2025-03-31,mobile,,5
221,721,Clothing,255.13,2025-12-09,desktop,SUMMER20,4
222,760,Electronics,223.75,2025-08-24,mobile,,5
223,440,Sports,208.17,2025-11-24,desktop,,1
224,415,Electronics,483.44,2025-03-29,tablet,,3
225,91,Books,423.8,2025-05-05,desktop,,5
226,81,Books,436.56,2025-06-23,mobile,,2
227,79,Sports,320.28,2025-09-29,tablet,FLASH30,3
228,360,Beauty,479.53,2025-11-27,mobile,FLASH30,1
229,150,Home & Garden,106.66,2025-11-05,mobile,SUMMER20,2
230,792,Beauty,252.12,2025-10-16,tablet,,5
231,659,Beauty,493.4,2025-06-15,tablet,,2
232,451,Electronics,239.77,2025-11-20,desktop,,5
233,58,Home & Garden,258.6,2025-06-08,desktop,,1
234,59,Home & Garden,417.53,2025-02-09,tablet,SUMMER20,5
235,609,Sports,198.4,2025-10-25,tablet,SAVE10,4
236,586,Beauty,102.24,2025-11-06,desktop,WELCOME15,1
237,462,Electronics,407.37,2025-06-25,tablet,SUMMER20,5
238,662,Clothing,29.18,2025-12-29,desktop,,5
239,536,Sports,87.79,2025-07-10,desktop,,4
240,794,Home & Garden,342.66,2025-01-27,tablet,,1
241,338,Electronics,283.4,2025-07-17,desktop,,5
242,154,Home & Garden,49.94,2025-12-06,mobile,,3
243,672,Beauty,334.45,2025-03-08,tablet,SUMMER20,3
244,573,Books,325.31,2025-06-18,mobile,SUMMER20,4
245,521,Home & Garden,18.93,2025-06-08,mobile,FLASH30,3
246,785,Books,104.08,2025-03-12,mobile,SUMMER20,3
247,104,Sports,387.73,2025-09-27,mobile,,5
248,135,Sports,194.59,2025-03-25,mobile,WELCOME15,4
249,45,Books,188.51,2025-05-02,desktop,,4
250,240,Sports,127.19,2025-08-29,mobile,,5
251,452,Books,387.02,2025-07-15,tablet,,2
252,205,Toys,306.29,2025-05-09,mobile,,3
253,568,Electronics,358.59,2025-09-22,mobile,,1
254,782,Clothing,143.67,2025-09-20,mobile,,1
255,228,Toys,231.05,2025-06-28,mobile,,1
256,406,Sports,193.24,2025-07-17,mobile,,2
257,29,Home & Garden,466.1,2025-11-29,desktop,WELCOME15,2
258,40,Home & Garden,459.52,2025-08-30,tablet,WELCOME15,4
259,460,Sports,12.57,2025-02-10,mobile,,2
260,154,Sports,470.71,2025-11-08,tablet,,1
261,795,Home & Garden,126.44,2025-03-04,mobile,FLASH30,4
262,655,Toys,315.18,2025-02-02,mobile,,5
263,549,Electronics,319.66,2025-10-22,mobile,WELCOME15,3
264,440,Electronics,311.26,2025-05-04,tablet,,2
265,681,Beauty,51.95,2025-07-04,mobile,SAVE10,4
266,482,Electronics,321.48,2025-07-11,desktop,SAVE10,3
267,70,Home & Garden,128.15,2025-12-03,tablet,SUMMER20,5
268,753,Toys,172.93,2025-01-23,desktop,,2
269,798,Beauty,237.67,2025-12-23,desktop,WELCOME15,2
270,65,Beauty,390.33,2025-08-23,mobile,,2
271,45,Toys,107.74,2025-01-22,desktop,,5
272,408,Toys,276.09,2025-05-10,mobile,FLASH30,3
273,366,Toys,392.61,2025-12-02,desktop,,1
274,377,Books,445.85,2025-08-14,desktop,,2
275,509,Beauty,253.79,2025-09-23,desktop,SUMMER20,4
276,81,Books,305.2,2025-04-03,tablet,,3
277,106,Electronics,170.68,2025-06-01,desktop,,5
278,735,Books,91.66,2025-08-16,desktop,,1
279,745,Toys,456.69,2025-11-11,desktop,,1
280,77,Beauty,322.38,2025-07-06,tablet,WELCOME15,1
281,147,Toys,307.71,2025-08-13,mobile,WELCOME15,1
282,242,Toys,326.13,2025-07-05,desktop,SAVE10,5
283,158,Beauty,230.46,2025-07-09,desktop,,1
284,588,Clothing,269.44,2025-07-23,desktop,,2
285,117,Electronics,370.48,2025-09-13,tablet,,5
286,121,Home & Garden,389.73,2025-12-27,desktop,FLASH30,5
287,293,Beauty,459.07,2025-09-09,mobile,SUMMER20,2
288,76,Books,94.6,2025-08-16,mobile,,3
289,727,Electronics,279.5,2025-05-29,desktop,WELCOME15,2
290,371,Sports,119.88,2025-04-13,mobile,FLASH30,4
291,27,Home & Garden,281.47,2025-07-08,desktop,WELCOME15,5
292,89,Electronics,161.55,2025-09-03,tablet,,4
293,589,Electronics,71.41,2025-06-12,tablet,SUMMER20,4
294,478,Beauty,263.51,2025-03-07,tablet,WELCOME15,2
295,444,Sports,456.25,2025-01-29,mobile,WELCOME15,3
296,169,Clothing,168.1,2025-12-30,mobile,,5
297,291,Toys,48.64,2025-04-11,tablet,,2
298,641,Home & Garden,311.07,2025-02-17,tablet,WELCOME15,5
299,595,Clothing,93.89,2025-11-16,tablet,,5
300,43,Toys,433.25,2025-02-11,mobile,,2
301,786,Sports,214.13,2025-11-24,mobile,,5
302,297,Beauty,478.76,2025-09-05,mobile,,3
303,465,Electronics,347.42,2025-03-22,desktop,,4
304,476,Clothing,176.69,2025-03-15,desktop,,3
305,409,Clothing,382.73,2025-09-21,tablet,SUMMER20,3
306,248,Books,70.04,2025-08-19,mobile,WELCOME15,1
307,52,Home & Garden,473.24,2025-11-12,desktop,FLASH30,2
308,336,Sports,363.35,2025-04-08,mobile,,5
309,479,Books,440.75,2025-09-12,mobile,SUMMER20,4
310,518,Books,483.68,2025-04-21,tablet,,1
311,52,Home & Garden,252.5,2025-12-01,tablet,,3
312,550,Electronics,425.11,2025-08-09,mobile,,3
313,783,Books,189.31,2025-07-25,mobile,FLASH30,3
314,567,Home & Garden,46.03,2025-09-16,desktop,,5
315,697,Sports,68.22,2025-02-19,desktop,,3
316,572,Home & Garden,379.93,2025-04-12,tablet,,5
317,42,Electronics,29.07,2025-06-20,desktop,,2
318,621,Sports,78.49,2025-11-10,desktop,WELCOME15,4
319,632,Beauty,422.87,2025-10-31,desktop,,5
320,307,Books,409.72,2025-07-08,desktop,SUMMER20,4
321,598,Home & Garden,400.41,2025-12-19,tablet,SAVE10,5
322,486,Home & Garden,483.86,2025-10-24,tablet,FLASH30,1
323,598,Books,93.55,2025-11-19,tablet,,2
324,698,Clothing,25.47,2025-12-25,mobile,FLASH30,1
325,452,Home & Garden,215.2,2025-07-31,tablet,FLASH30,4
326,514,Toys,309.62,2025-08-30,tablet,SAVE10,2
327,532,Clothing,284.83,2025-12-06,desktop,,3
328,178,Books,456.94,2025-06-25,tablet,,3
329,625,Books,104.21,2025-05-07,desktop,,2
330,305,Toys,151.61,2025-04-17,tablet,,3
331,492,Home & Garden,284.64,2025-05-21,desktop,SUMMER20,5
332,693,Sports,196.05,2025-07-22,desktop,WELCOME15,3
333,44,Home & Garden,478.1,2025-02-10,desktop,,3
334,766,Books,114.85,2025-10-03,desktop,,2
335,112,Sports,373.04,2025-05-03,mobile,SAVE10,5
336,232,Beauty,124.09,2025-02-21,desktop,,4
337,103,Beauty,387.68,2025-01-03,tablet,WELCOME15,4
338,669,Books,243.95,2025-04-13,desktop,,3
339,662,Electronics,454.89,2025-02-15,tablet,FLASH30,5
340,757,Beauty,426.66,2025-01-20,mobile,,2
341,38,Toys,204.53,2025-09-11,mobile,,1
342,10,Home & Garden,288.3,2025-02-24,desktop,,4
343,657,Sports,266.92,2025-03-10,tablet,,3
344,198,Toys,65.2,2025-03-25,tablet,,3
345,736,Clothing,16.9,2025-06-22,desktop,FLASH30,2
346,626,Toys,322.98,2025-07-27,desktop,,1
347,411,Beauty,56.74,2025-03-13,desktop,,2
348,7,Home & Garden,197.95,2025-08-17,desktop,,3
349,597,Beauty,290.71,2025-05-14,tablet,,2
350,64,Beauty,67.93,2025-06-07,mobile,,5
351,721,Toys,162.38,2025-03-02,tablet,,3
352,630,Clothing,117.37,2025-03-10,desktop,WELCOME15,4
353,766,Sports,193.08,2025-12-26,tablet,,5
354,681,Toys,117.02,2025-05-07,tablet,SUMMER20,5
355,458,Sports,354.85,2025-02-09,tablet,SUMMER20,1
356,561,Sports,109.06,2025-10-02,mobile,WELCOME15,3
357,533,Books,66.96,2025-04-16,tablet,,1
358,523,Books,406.26,2025-08-21,mobile,,4
359,578,Electronics,283.81,2025-12-11,desktop,SAVE10,4
360,261,Toys,11.48,2025-04-22,tablet,SUMMER20,1
361,434,Home & Garden,353.19,2025-10-05,mobile,SUMMER20,4
362,33,Home & Garden,210.34,2025-03-11,tablet,,3
363,392,Books,436.11,2025-07-13,desktop,SUMMER20,5
364,137,Beauty,431.54,2025-03-02,mobile,,5
365,131,Beauty,489.57,2025-01-02,mobile,,4
366,690,Beauty,276.78,2025-09-30,desktop,FLASH30,2
367,472,Home & Garden,86.01,2025-04-07,tablet,SUMMER20,1
368,677,Books,311.31,2025-01-09,mobile,FLASH30,1
369,104,Sports,26.45,2025-11-03,tablet,SAVE10,2
370,759,Electronics,207.11,2025-04-30,tablet,FLASH30,1
371,144,Sports,496.81,2025-04-30,tablet,,5
372,613,Toys,339.54,2025-06-14,mobile,,2
373,677,Sports,118.31,2025-06-03,desktop,SAVE10,5
374,606,Beauty,456.67,2025-11-17,tablet,,5
375,508,Electronics,486.42,2025-11-26,tablet,,5
376,327,Beauty,214.0,2025-03-18,desktop,,2
377,773,Sports,242.02,2025-04-26,desktop,WELCOME15,4
378,60,Sports,212.21,2025-08-02,tablet,WELCOME15,4
379,249,Home & Garden,109.63,2025-11-28,mobile,,3
380,95,Sports,365.05,2025-04-08,mobile,,4
381,690,Sports,305.43,2025-02-07,mobile,FLASH30,4
382,214,Toys,454.45,2025-06-05,mobile,FLASH30,2
383,760,Electronics,375.97,2025-09-03,mobile,FLASH30,4
384,246,Sports,167.59,2025-05-25,desktop,,5
385,665,Home & Garden,161.13,2025-07-04,tablet,,4
386,101,Toys,490.85,2025-08-29,desktop,FLASH30,3
387,321,Books,32.4,2025-04-24,tablet,WELCOME15,1
388,268,Sports,468.03,2025-10-24,tablet,,3
389,157,Clothing,171.63,2025-07-14,tablet,FLASH30,4
390,564,Beauty,472.3,2025-06-22,desktop,,4
391,472,Clothing,369.06,2025-06-30,mobile,WELCOME15,5
392,501,Clothing,459.28,2025-10-05,tablet,SAVE10,5
393,35,Toys,424.88,2025-12-09,mobile,SAVE10,4
394,141,Toys,319.04,2025-02-04,tablet,WELCOME15,1
395,224,Sports,233.44,2025-01-31,tablet,,4
396,17,Electronics,270.78,2025-07-30,mobile,SAVE10,5
397,740,Home & Garden,272.51,2025-05-27,mobile,,2
398,110,Electronics,266.95,2025-05-04,mobile,,3
399,274,Toys,204.48,2025-07-11,desktop,,5
400,250,Beauty,120.67,2025-12-17,mobile,SAVE10,1
401,416,Books,194.81,2025-09-01,mobile,SAVE10,2
402,85,Books,424.21,2025-11-27,desktop,SUMMER20,5
403,44,Clothing,113.59,2025-12-21,tablet,,3
404,48,Electronics,345.37,2025-05-24,tablet,SAVE10,2
405,323,Electronics,481.12,2025-10-28,mobile,,1
406,307,Clothing,286.34,2025-10-18,desktop,,4
407,774,Beauty,78.58,2025-12-19,tablet,SUMMER20,5
408,764,Home & Garden,36.31,2025-08-12,mobile,SUMMER20,3
409,620,Toys,310.79,2025-11-01,desktop,,1
410,650,Home & Garden,393.94,2025-08-19,desktop,FLASH30,3
411,567,Books,221.61,2025-12-15,tablet,,1
412,791,Sports,154.74,2025-05-07,tablet,SUMMER20,1
413,275,Clothing,196.2,2025-11-21,mobile,,3
414,370,Electronics,54.85,2025-06-07,desktop,,3
415,105,Clothing,52.78,2025-08-09,desktop,,1
416,27,Electronics,183.42,2025-02-17,tablet,,4
417,13,Home & Garden,212.77,2025-02-13,tablet,FLASH30,5
418,534,Clothing,345.8,2025-03-28,mobile,,3
419,275,Books,81.51,2025-03-27,desktop,,4
420,307,Books,393.51,2025-07-04,desktop,FLASH30,4
421,609,Sports,105.82,2025-02-24,mobile,,1
422,406,Home & Garden,422.39,2025-07-14,desktop,,3
423,441,Toys,413.53,2025-11-30,tablet,WELCOME15,3
424,329,Sports,474.17,2025-04-13,desktop,,2
425,408,Home & Garden,152.81,2025-12-22,tablet,,5
426,249,Home & Garden,194.27,2025-07-21,desktop,SUMMER20,5
427,205,Sports,498.66,2025-04-03,tablet,SAVE10,4
428,726,Clothing,224.84,2025-05-30,tablet,SUMMER20,4
429,690,Books,78.2,2025-06-05,mobile,,2
430,733,Books,396.65,2025-02-07,desktop,,5
431,411,Sports,258.24,2025-12-21,desktop,SAVE10,3
432,719,Toys,273.08,2025-11-23,mobile,SUMMER20,2
433,674,Beauty,183.95,2025-11-28,tablet,SAVE10,5
434,661,Beauty,326.9,2025-06-19,desktop,SUMMER20,1
435,101,Home & Garden,118.78,2025-09-23,tablet,FLASH30,4
436,384,Books,236.9,2025-12-14,tablet,WELCOME15,3
437,26,Books,61.23,2025-08-01,mobile,SUMMER20,2
438,357,Home & Garden,178.1,2025-04-16,tablet,,3
439,488,Electronics,224.7,2025-12-23,desktop,,1
440,308,Electronics,406.99,2025-02-28,mobile,,1
441,694,Toys,90.53,2025-05-05,tablet,WELCOME15,5
442,164,Home & Garden,284.33,2025-08-25,mobile,,2
443,191,Beauty,332.08,2025-07-22,mobile,FLASH30,4
444,607,Books,200.53,2025-12-27,mobile,FLASH30,3
445,771,Beauty,406.28,2025-02-02,tablet,SUMMER20,5
446,192,Home & Garden,169.73,2025-08-23,mobile,,4
447,541,Beauty,163.57,2025-07-18,tablet,,5
448,117,Home & Garden,182.47,2025-08-23,tablet,WELCOME15,3
449,630,Sports,51.53,2025-03-10,desktop,SUMMER20,2
450,313,Electronics,99.69,2025-12-22,mobile,,4
451,611,Clothing,291.65,2025-08-05,mobile,,5
452,711,Beauty,466.04,2025-03-30,tablet,WELCOME15,4
453,296,Clothing,101.68,2025-08-19,tablet,SAVE10,3
454,10,Books,76.9,2025-07-16,tablet,,4
455,702,Books,213.66,2025-08-16,desktop,WELCOME15,1
456,579,Electronics,399.98,2025-04-23,desktop,SAVE10,3
457,231,Sports,151.45,2025-08-23,tablet,,5
458,524,Electronics,290.63,2025-05-18,tablet,,5
459,775,Electronics,382.4,2025-08-14,tablet,FLASH30,4
460,105,Beauty,416.73,2025-05-07,desktop,SAVE10,4
461,270,Home & Garden,432.48,2025-02-14,desktop,SUMMER20,2
462,215,Toys,371.43,2025-12-19,desktop,,2
463,631,Clothing,394.58,2025-04-16,mobile,,5
464,288,Sports,274.0,2025-06-15,tablet,,3
465,587,Home & Garden,476.67,2025-09-21,tablet,SUMMER20,2
466,769,Toys,211.68,2025-01-31,desktop,WELCOME15,2
467,256,Clothing,358.58,2025-05-07,tablet,,4
468,146,Sports,319.88,2025-11-18,desktop,,4
469,78,Beauty,399.35,2025-02-17,desktop,,3
470,466,Books,170.37,2025-01-02,tablet,SUMMER20,4
471,651,Beauty,351.67,2025-02-02,tablet,,2
472,440,Toys,113.81,2025-05-18,desktop,,3
473,561,Sports,73.99,2025-09-06,desktop,SAVE10,1
474,102,Beauty,394.11,2025-08-24,mobile,SUMMER20,2
